model,actual_exam_score,predicted_exam_score,residual,absolute_error
LinearRegression,65,65.41713359977689,-0.41713359977688924,0.41713359977688924
LinearRegression,62,61.370258741662724,0.6297412583372761,0.6297412583372761
LinearRegression,66,66.03182983639223,-0.0318298363922338,0.0318298363922338
LinearRegression,68,68.43114346659983,-0.4311434665998348,0.4311434665998348
LinearRegression,69,68.26669818586385,0.7333018141361549,0.7333018141361549
LinearRegression,66,66.94625794741738,-0.9462579474173793,0.9462579474173793
LinearRegression,68,68.43182411166859,-0.4318241116685897,0.4318241116685897
LinearRegression,71,71.04131278243138,-0.04131278243137615,0.04131278243137615
LinearRegression,76,76.41559911024609,-0.41559911024609164,0.41559911024609164
LinearRegression,73,71.27636775966417,1.7236322403358315,1.7236322403358315
LinearRegression,68,68.32754565463463,-0.32754565463463337,0.32754565463463337
LinearRegression,69,68.32949157381495,0.6705084261850516,0.6705084261850516
LinearRegression,64,63.41250133212867,0.5874986678713299,0.5874986678713299
LinearRegression,64,65.25878696535796,-1.258786965357956,1.258786965357956
LinearRegression,59,62.2113564733002,-3.2113564733001994,3.2113564733001994
LinearRegression,67,65.83506720915749,1.1649327908425136,1.1649327908425136
LinearRegression,72,70.52987466267436,1.4701253373256407,1.4701253373256407
LinearRegression,72,71.28834514431648,0.7116548556835198,0.7116548556835198
LinearRegression,67,67.30918319994326,-0.3091831999432628,0.3091831999432628
LinearRegression,69,68.1073942652528,0.8926057347472067,0.8926057347472067
LinearRegression,64,63.132835148028114,0.8671648519718858,0.8671648519718858
LinearRegression,69,69.4895403669484,-0.48954036694840397,0.48954036694840397
LinearRegression,73,73.41751863012368,-0.4175186301236806,0.4175186301236806
LinearRegression,73,73.8626697900634,-0.862669790063407,0.862669790063407
LinearRegression,69,68.1506085324695,0.849391467530495,0.849391467530495
LinearRegression,72,71.84170330033753,0.15829669966247195,0.15829669966247195
LinearRegression,69,68.25596327847998,0.7440367215200183,0.7440367215200183
LinearRegression,66,66.5952307178961,-0.5952307178961007,0.5952307178961007
LinearRegression,68,67.93700571501434,0.06299428498566328,0.06299428498566328
LinearRegression,67,68.18608853334686,-1.1860885333468616,1.1860885333468616
LinearRegression,68,68.94343998083521,-0.9434399808352083,0.9434399808352083
LinearRegression,63,64.86794750496705,-1.8679475049670486,1.8679475049670486
LinearRegression,66,66.73255555003112,-0.7325555500311225,0.7325555500311225
LinearRegression,63,63.737121823041065,-0.7371218230410648,0.7371218230410648
LinearRegression,65,64.22719631354039,0.7728036864596106,0.7728036864596106
LinearRegression,70,68.66084095179377,1.339159048206227,1.339159048206227
LinearRegression,65,65.25814822212234,-0.2581482221223439,0.2581482221223439
LinearRegression,66,66.57888361234856,-0.5788836123485623,0.5788836123485623
LinearRegression,67,68.70680039699364,-1.7068003969936427,1.7068003969936427
LinearRegression,69,69.97160609079299,-0.9716060907929887,0.9716060907929887
LinearRegression,61,61.39046240204571,-0.3904624020457135,0.3904624020457135
LinearRegression,65,63.684099657674366,1.3159003423256337,1.3159003423256337
LinearRegression,61,62.13928381957494,-1.139283819574942,1.139283819574942
LinearRegression,65,65.6898829820034,-0.6898829820033967,0.6898829820033967
LinearRegression,62,62.012696584076515,-0.012696584076515194,0.012696584076515194
LinearRegression,65,63.45482398652393,1.5451760134760733,1.5451760134760733
LinearRegression,71,71.24736388654074,-0.24736388654073949,0.24736388654073949
LinearRegression,66,66.61807002456882,-0.6180700245688229,0.6180700245688229
LinearRegression,70,68.93924941217172,1.0607505878282808,1.0607505878282808
LinearRegression,66,64.99966012377106,1.000339876228935,1.000339876228935
LinearRegression,70,69.36410415669174,0.635895843308262,0.635895843308262
LinearRegression,63,62.88594596396508,0.11405403603492204,0.11405403603492204
LinearRegression,70,68.89965999445819,1.1003400055418098,1.1003400055418098
LinearRegression,70,71.46231477987058,-1.4623147798705816,1.4623147798705816
LinearRegression,70,69.17038575337756,0.829614246622441,0.829614246622441
LinearRegression,71,70.35097262519122,0.6490273748087816,0.6490273748087816
LinearRegression,65,65.69053590287699,-0.690535902876988,0.690535902876988
LinearRegression,66,67.03471793676965,-1.0347179367696526,1.0347179367696526
LinearRegression,67,69.07965697975094,-2.0796569797509363,2.0796569797509363
LinearRegression,62,62.030537366664475,-0.030537366664475485,0.030537366664475485
LinearRegression,71,70.96598435369799,0.03401564630200937,0.03401564630200937
LinearRegression,66,65.13140812092834,0.8685918790716585,0.8685918790716585
LinearRegression,71,69.33357203688017,1.6664279631198298,1.6664279631198298
LinearRegression,70,70.99557381345153,-0.9955738134515286,0.9955738134515286
LinearRegression,70,71.48247015414503,-1.4824701541450338,1.4824701541450338
LinearRegression,67,67.34139109245076,-0.34139109245076327,0.34139109245076327
LinearRegression,70,70.47113117376036,-0.4711311737603552,0.4711311737603552
LinearRegression,67,66.42191149350867,0.5780885064913264,0.5780885064913264
LinearRegression,69,68.5921780477492,0.4078219522507993,0.4078219522507993
LinearRegression,69,69.3339289346419,-0.33392893464190365,0.33392893464190365
LinearRegression,70,69.98230304555028,0.017696954449718305,0.017696954449718305
LinearRegression,69,69.03414715381537,-0.03414715381536837,0.03414715381536837
LinearRegression,74,73.70056445119152,0.299435548808475,0.299435548808475
LinearRegression,72,71.30325810208741,0.6967418979125881,0.6967418979125881
LinearRegression,59,59.53718748384463,-0.5371874838446331,0.5371874838446331
LinearRegression,71,70.41158356464,0.5884164353600028,0.5884164353600028
LinearRegression,60,60.24505691107099,-0.24505691107098926,0.24505691107098926
