,count,mean,std,min,25%,50%,75%,max
Hours_Studied,6378.0,-1.8381867576107953e-16,1.0000784037007753,-3.170783530124948,-0.6645138225416359,0.0038247661472472,0.6721633548361304,4.013856298280547
Attendance,6378.0,5.456072512362952e-16,1.0000784037007753,-1.7334346011935553,-0.8676200392040571,-0.0018054772145589,0.8640090847749392,1.7298236467644377
Parental_Involvement,6378.0,-7.575557546517218e-17,1.0000784037007753,-1.5618755234959356,-0.1229556782182992,-0.1229556782182992,1.3159641670593372,1.3159641670593372
Access_to_Resources,6378.0,2.0888485881940856e-16,1.0000784037007753,-1.5719732148326244,-0.1404990337643092,-0.1404990337643092,1.290975147304006,1.290975147304006
Extracurricular_Activities,6378.0,9.246636417072485e-17,1.0000784037007748,-1.2168593966156709,-1.2168593966156709,0.8217876303385581,0.8217876303385581,0.8217876303385581
Sleep_Hours,6378.0,-7.241341772406163e-17,1.000078403700775,-2.067529958553622,-0.7050558070161939,-0.0238187312474794,0.6574183445212349,2.0198924960586635
Previous_Scores,6378.0,4.500772424695523e-16,1.0000784037007753,-1.7407954070758322,-0.8379712078271483,-0.0045950239052862,0.8982291753433976,1.7316053592652596
Motivation_Level,6378.0,-7.4641522884802e-17,1.0000784037007753,-1.3051028086241112,-1.3051028086241112,0.132290683588733,0.132290683588733,1.5696841758015772
Internet_Access,6378.0,1.6320870302423123e-16,1.0000784037007753,-3.485758950919803,0.2868815698618879,0.2868815698618879,0.2868815698618879,0.2868815698618879
Tutoring_Sessions,6378.0,-1.05834995135167e-17,1.000078403700775,-1.2118584192988318,-0.4014114235676847,-0.4014114235676847,0.4090355721634622,5.271717546550344
Family_Income,6378.0,-6.684315482221074e-17,1.0000784037007753,-1.0599264484110875,-1.0599264484110875,0.2851214799545941,0.2851214799545941,1.6301694083202758
Teacher_Quality,6378.0,2.5623209348514118e-17,1.0000784037007753,-1.9920238893673567,-0.3281778487197662,-0.3281778487197662,1.3356681919278244,1.3356681919278244
School_Type,6378.0,-7.352747030443182e-17,1.000078403700775,-0.6621407034999388,-0.6621407034999388,-0.6621407034999388,1.5102530243409096,1.5102530243409096
Physical_Activity,6378.0,6.238694450073003e-17,1.0000784037007753,-2.8893748089520632,-0.9454473267267194,0.0265164143859525,0.9984801554986245,2.9424076377239685
Learning_Disabilities,6378.0,-2.339510418777376e-17,1.000078403700775,-0.3420347070190453,-0.3420347070190453,-0.3420347070190453,-0.3420347070190453,2.92367990580651
Parental_Education_Level,6378.0,7.408449659461691e-17,1.0000784037007753,-0.9037617189551556,-0.9037617189551556,0.3774546054493748,0.3774546054493748,1.6586709298539055
Distance_from_Home,6378.0,-2.4509156768143938e-17,1.0000784037007753,-0.7514486982973466,-0.7514486982973466,-0.7514486982973466,0.740222573953035,2.231893846203417
Gender,6378.0,-1.244953758563675e-16,1.0000784037007753,-0.8540448610751373,-0.8540448610751373,-0.8540448610751373,1.1708986794219725,1.1708986794219725
IQ,6378.0,7.798368062591254e-18,1.0000784037007753,-3.8883083021246656,-0.6940489931896395,-0.0285783038281757,0.6368923855332881,3.8976987634044606
Prev_Sem_Result,6378.0,1.4148467770701274e-16,1.0000784037007753,-1.7560441099508255,-0.8561459578707923,0.0022184333440091,0.8675051180363484,1.7051026288185342
CGPA,6378.0,7.085374411154339e-16,1.0000784037007753,-2.02605889883486,-0.8409224247231412,-0.0031535378510639,0.8482376073441356,1.9925073064864856
Academic_Performance,6378.0,1.2477388900146006e-16,1.000078403700775,-1.5839686334080776,-0.8843459226132909,0.1650881435788891,0.8647108543736758,1.5643335651684624
Internship_Experience,6378.0,-1.1808957351923897e-16,1.0000784037007753,-0.8207170578893007,-0.8207170578893007,-0.8207170578893007,1.2184467111866475,1.2184467111866475
Extra_Curricular_Score,6378.0,-1.3145820448368112e-16,1.0000784037007753,-1.5775368987157707,-0.943080276714372,0.0086046562877266,0.960289589289825,1.594746211291224
Communication_Skills,6378.0,4.651169523045498e-17,1.0000784037007753,-1.5873977882570611,-0.8945847664961184,0.1446347661452956,0.8374477879062384,1.530260809667181
Projects_Completed,6378.0,1.8938893866293044e-17,1.0000784037007753,-1.4693089940556092,-0.8860481012886536,0.2804736842452576,0.8637345770122132,1.446995469779169
Peer_Negative,6378.0,2.4509156768143938e-17,1.0000784037007753,-0.513293952290501,-0.513293952290501,-0.513293952290501,-0.513293952290501,1.9482014068890596
Peer_Neutral,6378.0,5.1246418697028235e-17,1.0000784037007753,-0.8015886878032354,-0.8015886878032354,-0.8015886878032354,1.2475225950861577,1.2475225950861577
Peer_Positive,6378.0,-3.286455112092028e-17,1.000078403700775,-0.8169767318548042,-0.8169767318548042,-0.8169767318548042,1.2240250682901004,1.2240250682901004
Exam_Score,6378.0,67.25195986202571,3.9128842814461287,55.0,65.0,67.0,69.0,100.0
Placement,6378.0,0.16603951081843837,0.37214527499233113,0.0,0.0,0.0,0.0,1.0
